,Peak_Date,Title,Half_Life
0,2019-03-01 00:00:00,scottish pokemon trainer meme,31 days 00:00:00.000000000
0,2017-09-01 00:00:00,hey there demons meme,61 days 00:00:00.000000000
0,2018-10-01 00:00:00,skyrim skill tree meme,151 days 00:00:00.000000000
0,2018-04-01 00:00:00,walmart yodel boy meme,30 days 00:00:00.000000000
0,2017-03-01 00:00:00,the ratio meme,61 days 00:00:00.000000000
0,2018-07-01 00:00:00,annoyed bird meme,31 days 00:00:00.000000000
0,2019-01-01 00:00:00,big chungus meme,59 days 00:00:00.000000000
0,2018-01-01 00:00:00,but can you do this meme,31 days 00:00:00.000000000
0,2018-10-01 00:00:00,lets get this bread meme,61 days 00:00:00.000000000
0,2018-11-01 00:00:00,weird flex but ok meme,30 days 00:00:00.000000000
0,2018-03-01 00:00:00,oopsie woopsie meme,61 days 00:00:00.000000000
0,2018-07-01 00:00:00,dont look at her meme,62 days 00:00:00.000000000
0,2019-01-01 00:00:00,crab rave meme,90 days 00:00:00.000000000
0,2018-05-01 00:00:00,t pose meme,61 days 00:00:00.000000000
0,2018-11-01 00:00:00,okay this is epic meme,30 days 00:00:00.000000000
0,2017-07-01 00:00:00,that damn smile meme,62 days 00:00:00.000000000
0,2017-07-01 00:00:00,plastic love meme,31 days 00:00:00.000000000
0,2018-07-01 00:00:00,obunga meme,31 days 00:00:00.000000000
0,2018-07-01 00:00:00,big dick energy meme,31 days 00:00:00.000000000
0,2018-03-01 00:00:00,globglogabgalab meme,92 days 00:00:00.000000000
0,2018-03-01 00:00:00,who created kirby meme,61 days 00:00:00.000000000
0,2018-05-01 00:00:00,thank you kanye very cool meme,31 days 00:00:00.000000000
0,2018-04-01 00:00:00,we live in a society meme,91 days 00:00:00.000000000
0,2018-07-01 00:00:00,people who thank the bus driver meme,31 days 00:00:00.000000000
0,2018-07-01 00:00:00,polite cat meme,31 days 00:00:00.000000000
0,2018-10-01 00:00:00,this aint it chief meme,31 days 00:00:00.000000000
0,2018-05-01 00:00:00,bbq becky meme,31 days 00:00:00.000000000
0,2018-08-01 00:00:00,ligma meme,31 days 00:00:00.000000000
0,2019-03-01 00:00:00,momo challenge meme,31 days 00:00:00.000000000
0,2018-07-01 00:00:00,this is so sad alexa play despacito meme,31 days 00:00:00.000000000
0,2018-10-01 00:00:00,moth lamp meme,31 days 00:00:00.000000000
0,2018-09-01 00:00:00,bowsette meme,61 days 00:00:00.000000000
0,2018-05-01 00:00:00,trumpet boy meme,31 days 00:00:00.000000000
0,2018-10-01 00:00:00,bongo cat meme,61 days 00:00:00.000000000
0,2018-08-01 00:00:00,30 year old boomer meme,61 days 00:00:00.000000000
0,2018-07-01 00:00:00,slaps roof of car meme,31 days 00:00:00.000000000
0,2018-06-01 00:00:00,despacito 2 meme,30 days 00:00:00.000000000
0,2018-01-01 00:00:00,i cant believe youve done this meme,31 days 00:00:00.000000000
0,2018-05-01 00:00:00,lord farquaad markiplier e meme,61 days 00:00:00.000000000
0,2018-03-01 00:00:00,savage patrick meme,31 days 00:00:00.000000000
0,2018-04-01 00:00:00,american chopper argument meme,30 days 00:00:00.000000000
0,2007-10-01 00:00:00,aaaaaaaa meme,31 days 00:00:00.000000000
0,2018-03-01 00:00:00,grus plan meme,31 days 00:00:00.000000000
0,2018-03-01 00:00:00,patrick star meme,31 days 00:00:00.000000000
0,2012-02-01 00:00:00,cray cray meme,121 days 00:00:00.000000000
0,2014-11-01 00:00:00,a potato flew around my room meme,30 days 00:00:00.000000000
0,2018-03-01 00:00:00,steamed hams meme,61 days 00:00:00.000000000
0,2018-01-01 00:00:00,somebody toucha my spaghet meme,59 days 00:00:00.000000000
0,2018-01-01 00:00:00,tide pod challenge meme,31 days 00:00:00.000000000
0,2018-01-01 00:00:00,ugandan knuckles meme,31 days 00:00:00.000000000
0,2018-02-01 00:00:00,burger king foot lettuce meme,28 days 00:00:00.000000000
0,2018-02-01 00:00:00,you so precious when you smile meme,59 days 00:00:00.000000000
0,2018-01-01 00:00:00,karma is a bitch meme,59 days 00:00:00.000000000
0,2012-12-01 00:00:00,the end of the world meme,31 days 00:00:00.000000000
0,2018-02-01 00:00:00,monkas meme,212 days 00:00:00.000000000
0,2018-05-01 00:00:00,absolute unit meme,61 days 00:00:00.000000000
0,2018-01-01 00:00:00,ben swolo meme,31 days 00:00:00.000000000
0,2018-10-01 00:00:00,heres johnny meme,182 days 00:00:00.000000000
